article_id,article_title,abstract_text,annotations
37304573,Irrational Beliefs Among Competitive High School Student Athletes: Are they General or Context-Driven?,"While student-athletes strive for high performance both athletically and academically, understanding the role of beliefs as it relates to objective measures of performance has not been readily studied (Turner and Barker in J Appl Sport Psychol 25:131-147, 2013) and even less so among youth. This research examined if irrational beliefs that are context specific to performance settings (academic vs. athletic) are more predictive of academic and athletic performance than those more general irrational beliefs among 30 high-school student athlete basketball players. While both general and context-specific irrational beliefs were predictive of athletic performance as measured by performance analysis from game video footage and academic performance as measured by Grade Point Average, there were no differences in terms of their predictive ability. Implications for researchers and practitioners are provided to guide the scholarly research and applied implications regarding the role of specific beliefs as it relates to performance with this population.","[('basketball', 'sport', 548, 558)]"
37808161,"Use of ergogenic aids among Brazilian athletes: a cross-sectional study exploring competitive level, sex and sports.","Was investigated ergogenic aids (EAs) used by Brazilian athletes and their association with performance, sex, sports classification, and modality. It identified the main purposes of EAs and their prescription.239 athletes of 15 modalities, ranging from regional to international level, answered a survey online.Highly competitive athletes consumed nutritional and mechanical aids more (OR = 1.96 CI 95% [1.28-2.9]; OR = 1.79 CI 95% [1.29-2.47]), while the use of psychological EAs decreased [OR = 1.66 95% CI (1.18-2.94);  = 0.001]. Male athletes [OR = 1.44 CI 95% (1.11-2.88)] and individual sports practitioners [OR = 1.78 CI 95% (1.02-3.11)] used nutritional aids more. Triathlon athletes had higher nutritional EA use, while soccer athletes had lower. Combat sports athletes had higher pharmacological EA use.Athletes use nutritional and pharmacological aids more to improve performance and gain lean body mass. Mechanical aids were used for recovery and psychological aids for motivation. Self-prescription is common, especially for pharmacological aids.","[('triathlon', 'sport', 673, 682), ('soccer', 'sport', 729, 735)]"
37511949,Pilot Study: The Relationship between Foot Posture and Movement Quality in Non-Professional Male Football Players.,"(1) Background: This study focusses on establishing the relationship between quality of movement (based on the functional movement screen, or FMS) and foot posture (based on the foot posture index, or FPI-6). We hypothesised that a poor FMS test score may be derived from the foot position in the space measured by FPI-6. (2) Methods: a quasi-experimental and cross-sectional study was designed to analyse foot posture in 30 healthy football players, using the foot posture index and the functional movement screen. (3) Results: No significant relationships were found between movement quality and foot posture. Poor movement quality is present in more than half of all foot positions, supination, pronation, and neutral. Good quality seems to be more associated with a neutral foot position (23.3%) and supinated (16.6%) than a pronated foot position (6.6%). (4) Conclusions: this study found no relationship between the two tests; therefore, we cannot demonstrate that foot posture is relevant in the quality of the movement of the football players studied.","[('football', 'sport', 433, 441), ('football', 'sport', 1034, 1042)]"
36836815,Reliability of a Custom Device Used to Measure Isometric Knee Flexor and Extensor Strength in Standing Position.,"Assessing lower limb strength in the field is problematic, as the ""gold standard assessment"" with isokinetic strength is cumbersome, and the device is costly and not transportable and keeps the angle of the hip at around 90°. : We evaluated isometric muscle strength in a standing position with the help of an exoskeleton that holds the subject and makes the test easily repeatable.  The optimal device angles for hip and knee were, respectively, 20° and 80° for flexor tests and 30° and 40° for extensor tests. Test-retest reliability was very high for the right knee extensor (ICC 0.96-0.98), left knee extensor (ICC 0.96-0.97), right knee flexor (ICC 0.91-0.96), and left knee flexor (ICC 0.96-0.97). Furthermore, the typical error in percent (T.E.%) ranged from 2.50 to 5.50%, and the change in the mean in percent ranged from 0.84 to 7.72%, making it possible to determine even a slight variation in force.  this new method could represent a valid alternative for assessing strength, due to the high reliability and the favorable joint position, particularly in football.","[('football', 'sport', 1067, 1075)]"
36670707,How Football Players' Age Affect Passing Patterns of Play According to Field Location.,"This study aimed to characterize the passing patterns that support collective tactical behaviour in football players of different ages (U15, U17, and U19) in different field zones. Two hundred and twenty-eight male players, divided into U15, U17, and U19, participated in the study. Cluster analysis was used to group the passes into three sizes (short, medium, and long). The chi-square test was used to analyse the effect of player age on game-passing patterns in each field zone. The results revealed that long and medium passes were used more in areas close to the goals and short passes in the middle area of the field, concerning all ages (p < 0.001). Furthermore, the analysis of the relative distance between the ball carrier and the receiver indicated that older players (U17 and U19) used more distant players to pass the ball in medium and long passes. These results can help coaches design small-sided games according to the players’ ages and adjust to the field’s space and the numerical relationship, thus creating a greater transfer from training to competition.","[('football', 'sport', 100, 108)]"
37923817,Measuring skill via player dynamics in football dribbling.,"Although a myriad of studies have been conducted on player behavior in football, in-depth studies with structured theory are rare due to the difficulty in quantifying individual player skills and team strategies. We propose a physics-based mathematical model that describes football players' movements during dribbling situations, parameterized by the attacker aggressiveness, the defender hesitance and the top speed of both players. These player- and situation-specific parameters are extracted by fitting the model to real player trajectories from Major League Soccer games, and enable the quantification of player dribbling attributes and decisions beyond classical statistics. We show that the model captures the essential dribbling dynamics, and analyze how differences between parameters in varying game situations provide valuable insights into players' behavior. Lastly, we quantitatively study how changes in the player's parameters impact dribbling performance, enabling the model to provide scientific guidance to player training, scouting and game strategy development.","[('football', 'sport', 71, 79), ('football', 'sport', 274, 282), ('soccer', 'sport', 564, 570)]"
36921122,Trends in Relative Age Effects of Top-Level Female Soccer Players: A Japanese Study.,"We investigated recent trends in relative age effect (RAE) findings of top-level female soccer players in Japan, using data from the 2016 to 2020 seasons. We conducted two main analyses: (a) An examination of RAE for all registered players in the Japan Women's Soccer League (Nadeshiko League) from 2016 to 2020; and (b) an examination of RAE of newly registered players in the league from 2017 to 2020. In the first analysis, we found a significant difference between the number of players born in Q1 (April-June) versus Q4 (January-March), with the number of players born in Q1 greater and with the ratio between these groups ranging from 1.5 to 1.7. In the second analysis, we found a significant relationship between Q1 and Q4 for the 2017 season alone. However, the Q1/Q4 ratio ranged from 1.4 to 1.9, and the semester ratio of S1 (Q1 + Q2))/S2 (Q3 + Q4) ranged from 1.2 to 1.3, suggesting a birth month bias. Thus, there was a RAE in female soccer players playing recently in Japan's top-level leagues; and the size of the effect did not change significantly across recent seasons.","[('soccer', 'sport', 88, 94), ('soccer', 'sport', 261, 267), ('soccer', 'sport', 947, 953)]"
37260276,"The effects of sport, setting, and demographics on sunscreen use and education in young athletes.","Participation in outdoor sports increases exposure to ultraviolet radiation, necessitating mitigation through sunscreen use. This prospective study examined the effects of sport, setting (practice vs. competition), gender, age and geographic location on sunscreen use and education among youth athletes in various sports. Six hundred and twelve athletes ≤18 years old completed an online survey on sunscreen education and use during competitions and practices. Regardless of sport, reported sunscreen use was higher during practices than competition ( < 0.0001). Sunscreen was used most by swimmers/divers (odds ratio: OR ≥ 1.9,  < 0.001) and least by American football players (OR ≤ 0.57,  ≤ 0.001). Coaches mentioned sunscreen use the most in track and field (OR 1.84,  = 0.001) and the least in American football (OR 0.67,  = 0.03). Athletes used sunscreen more if they were female (OR ≥ 1.9 1.38,  ≤ 0.06) and younger (age OR ≤ 0.88,  < 0.001). In conclusion, youth athletes differ in sunscreen use by sport and setting, highlighting the need for continued photoprotective education.","[('football', 'sport', 661, 669), ('football', 'sport', 807, 815)]"
36997561,A novel characterisation protocol of mechanical interactions between the ground and a tibial prosthesis for long jump.,"The mechanical study of Running Specific Prostheses (RSPs) is often limited to the blade. The setup developed and presented herein is a simple experiment, based on a mechanical testing machine and a camera, that assesses two indicators relevant to coaches and athletes in the field of athletics: secant stiffness and energy dissipation. The influence of four parameters on global prosthesis behaviour is evaluated: the load line offset, the prosthesis-ground angle, the sole type and the flooring type. The load line offset and the flooring type have little to no influence on their behaviour. The prosthesis-ground angle impacts the stiffness: an increase in the angle brings a significant decrease in stiffness, which strongly impacts the performance. The type of sole modifies the kinematics of the blade tip's interaction with the ground. However, this effect is less likely to enhance the sports practice since athletics imposes the use of spikes. The camera images allow assessing the local behaviour of the sole, thus enabling to follow its strain through the compression process.","[('running', 'sport', 24, 31), ('athletics', 'sport', 285, 294), ('athletics', 'sport', 916, 925)]"
37708203,Optionality in Australian Football League draftee contracts.,"Though player drafts have commonly been utilised to equitably disperse amateur talent and avoid bidding wars, often they have also been accused of creating a monopsony labour market which restricts player movement. Within the Australian Football League (AFL) some have called for the increase of the initial draftee contract from two to three seasons, which further pushes the envelope on monopsony power. Instead of increasing the contract length, this paper suggests a call option to be purchased by the teams allowing them to add a further season to the draftee contract at a predetermined compensation package should they choose to do so at the end of the initial contract. The call prices per pick were calculated using the Black-Scholes model and were valued between 1% and 1.5% of the pick value. However, it failed to follow a monotonic function similar to pick value, owing to managerial overconfidence and sunk investment plays. Overall, the findings allow teams to procure the option of increasing initial draftee contracts and not impede further on a player's ability to move.","[('football', 'sport', 237, 245)]"
37330764,Total and regional body composition are related with aerobic fitness performance in elite futsal players.,"Body composition (i.e., fat and lean mass profile) has been related to aerobic performance, an essential capacity for futsal athletes. The present study aimed to verify the relationship between total and regional body composition (percentage of fat and lean mass) with aerobic performance in elite futsal players. Male professional futsal athletes (n = 44) from two Brazilian National Futsal League teams and athletes representing the National team participated in this study. Body composition was evaluated using DXA (Dual-Energy X-ray Absorptiometry) and aerobic fitness by ergospirometry. There was a negative (p < 0.05) correlation between maximum oxygen uptake and maximal velocity reached with total body (r = -0.53; r = -0.58), trunk (r = -0.52; r = -0.56) and lower-limb (r = -0.46; r = -0.55) fat mass percentage. Lower-limb lean mass percentage had a positive (p < 0.05) correlation with maximum oxygen uptake (r = 0.46) and maximal velocity (r = 0.55). In conclusion, total and regional body composition present a relationship with aerobic performance in professional futsal players.","[('futsal', 'sport', 298, 304), ('futsal', 'sport', 385, 391), ('futsal', 'sport', 1079, 1085)]"
37793651,Morality- and Norm-Based Subgroups of Disability-Sport Athletes Differ on Their Anticipated Guilt and Intentions Toward Doping.,"The purpose of this study was to examine whether subgroups of disability-sport athletes exist on morality- and norm-based doping cognitions and whether these groups differ in anticipated guilt or doping intentions. A survey was completed by 186 athletes (Mage = 37.5 years, 78.0% male, 45.1% wheelchair basketball) assessing norms, doping moral disengagement, anticipated guilt, and intentions to dope. Cluster analysis revealed four distinct subgroups of athletes, including one potentially high-risk subgroup characterized by relatively high scores on doping moral disengagement, subjective norms, and descriptive norms. One-way analysis of variance revealed significantly lower anticipated guilt in two athlete subgroups characterized by relatively higher doping moral disengagement than the other two subgroups. Moreover, the potentially high-risk group had a greater proportion of athletes showing some presence of intention to dope. This study suggests there is a small subgroup of disability-sport athletes at elevated risk of doping who might benefit from targeted antidoping interventions.","[('wheelchair basketball', 'sport', 292, 313)]"
37686753,The Effects of Nitrate Supplementation on Performance as a Function of Habitual Dietary Intake of Nitrates: A Randomized Controlled Trial of Elite Football Players.,"Nitrates are an effective ergogenic supplement; however, the effects of nitrate supplements based on habitual dietary nitrate intake through diet alone are not well understood. We aimed to assess this in a group of 15 highly trained football players from Slovenian football's First Division. Participants underwent two separate Cooper performance tests either with nitrate supplementation (400 mg nitrates) or placebo while having their nutrition assessed for nitrate intake, as well as energy and macronutrient intake. Nitrate supplementation had a statistically significant positive effect on performance if baseline dietary nitrate intake was below 300 mg ( = 0.0104) in both the placebo and intervention groups. No effects of nitrate supplementation when baseline dietary nitrate intake was higher than 300 mg in the placebo group could be concluded due to the small sample size. Nitrate supplementation did not have a significant effect on perceived exertion. The daily nitrate intake of the participants was measured at 165 mg, with the majority of nitrates coming from nitrate-rich vegetables.","[('football', 'sport', 233, 241), ('football', 'sport', 265, 273)]"
37609946,"The Longitudinal Relationship Between Concussion History, Years of American Football Participation, and Alcohol Use Among Former National Football League Players: an NFL-LONG Study.","Investigate the relationships between concussion history and years of football participation (repetitive head impact proxy) with alcohol use across multiple decades in former professional football players.Participants (n = 348; mean age = 49.0 ± 9.4) completed health questionnaires in 2001 and 2019, which included self-reported concussion history and years of participation. Alcohol use frequency and amount per occasion were reported for three timepoints: during professional career, 2001, and 2019. Ordinal logistic regression models were fit to test associations of concussion history and years of participation with alcohol use at each timepoint.There were no significant associations between either concussion history or years of football participation with alcohol use (frequency and amount per occasion) at any timepoint. Effect estimates for concussion history and years of football participation with alcohol use were generally comparable across timepoints.Later life alcohol use by former American football players is not associated with concussion history or years of exposure to football.","[('football', 'sport', 70, 78), ('football', 'sport', 188, 196), ('football', 'sport', 737, 745), ('football', 'sport', 884, 892), ('american football', 'sport', 1001, 1018), ('football', 'sport', 1093, 1101)]"
36990444,A Hurdle-Based Learning Design Effect on Locomotion Pattern and Hurdle Clearance Kinematic Reorganization.,"The study assessed the manifestation of a regulated locomotion pattern while clearing the first two hurdles during running. In addition, the effect of a hurdles' learning design, using specific activities and manipulated task constraints, on regulation strategies and kinematic reorganization was examined. Pre- and posttests were conducted. Twenty-four young athletes were randomly assigned into an experimental and a control group, and performed 18 training sessions, consisting of a hurdle-based intervention for experimental participants and a more generalized athletics training for control participants. Different footfall variability curves were recorded, suggesting that young athletes regulated locomotion pattern to clear the hurdles according to their needs. Task-specific training contributed to lower values of variability for the entire approach run and to functional movement reorganization, affording learners to take-off further from the hurdle with a higher horizontal velocity, leading to a more flat hurdle clearance stride and to a significant hurdle running performance improvement.","[('athletics', 'sport', 565, 574), ('footfall', 'sport', 620, 628)]"
37879103,The Decision-Making of High-Level Volleyball Setters in the 2021-2022 Volleyball Men's Superliga: Does the Opponent Matter?,"Our primary objective in this study was to investigate the offensive strategies employed in the attack phase of men's volleyball, specifically focusing on side-out as stratified by the type of confrontation that was determined by the opponent's team performance. We analyzed 5524 attacking actions during 22 games of the 12 teams that participated in the Volleyball Men's Superliga (season 2021-2022). Based on their final rankings in the championship, we classified these teams into three tiers: high-performance, intermediate-performance, and low-performance. Subsequently, we examined the dynamics of these matches using Social Network Analysis. We found that the opponent teams' performance levels did not influence the game dynamics. Notably, the eigenvector values were prominently higher for Attack Zones 2 and 4, wherein the middle-blocker jumped to attack close to the setter across all networks. Thus, setters opted for traditional and low-risk strategies to minimize errors, disregarding available information about the skill level of the opposing team, making their offensive tactics predictable.","[('volleyball', 'sport', 118, 128), ('volleyball', 'sport', 355, 365)]"
36977911,The role of working memory capacity in soccer tactical decision making at different levels of expertise.,"Athletic skills acquired through deliberate practice are essential for expert sports performance. Some authors even suggest that practice circumvents the limits of working memory capacity (WMC) in skill acquisition. However, this circumvention hypothesis has been challenged recently by the evidence that WMC plays an important role in expert performance in complex domains such as arts and sports. Here, we have used two dynamic soccer tactical tasks to explore the effect of WMC on tactical performance at different levels of expertise. As expected, professional soccer players exhibited better tactical performance than amateur and recreational players. Furthermore, WMC predicted faster and more accurate tactical decisions in the task under auditory distraction and faster tactical decisions in the task without distraction. Importantly, lack of expertise × WMC interaction suggests that the WMC effect exists at all levels of expertise. Our results speak against the circumvention hypothesis and support a model of independent contributions of WMC and deliberate practice on expert performance in sports.","[('soccer', 'sport', 430, 436), ('soccer', 'sport', 565, 571)]"
37679121,An intelligent data analysis-based medical management method for lower limb health of football athletes.,"With increasingly mature commercial operations, football has become the most popular sport in the world. As the main body of football, athletes are prone to injury due to an increasing degree of competition intensity. Their health determines the length of these athletes careers, especially regarding the lower limbs that are mainly used. Therefore, the smart visualization approaches that can realize such function are in urgent demand in the area of sports healthcare. Benefitted by the strong ability of perception and analysis, a convolutional neural network (CNN) is utilized to construct an intelligent data analysis-based medical management method for the lower limb health of football athletes. First, the CNN is formulated as the main backbone, and its parameters are optimized for multiple rounds during the training stage. Then, a statistical analysis software named SPSS is introduced to assess the effect mechanism of different postures on lower limbs. Some experiments are carried out on simulative data to evaluate the proposed method, and results show a good performance of the proposed method.","[('football', 'sport', 48, 56), ('football', 'sport', 125, 133), ('football', 'sport', 684, 692)]"
37754970,Examination of Countermovement Jump Performance Changes in Collegiate Female Volleyball in Fatigued Conditions.,"The purpose of this investigation was to examine changes in countermovement vertical jump performance after a single sport-specific training session in a sample of collegiate female volleyball athletes. Eleven NCAA Division I volleyball athletes performed countermovement vertical jumps with and without an arm swing prior to and immediately after a sport-specific training session. Each participant completed two jumps in each condition using a portable force platform. Paired samples t-tests were performed within each jump condition. When using an arm swing, mean braking force was the only variable to display a statistically significant change ( < 0.05). In the no-arm-swing condition, mean propulsive force, propulsive net impulse, jump height and reactive strength index modified all statistically increased ( < 0.05). Time to takeoff was statistically reduced ( < 0.05). Additionally, a single-subject analysis was performed across all eleven participants resulting in general trends seen in the no-arm-swing condition, whereas the arm-swing condition displayed inconsistent findings across participants.","[('volleyball', 'sport', 182, 192), ('volleyball', 'sport', 226, 236)]"
36965485,"""We're All the Same and We Love Football."" Experiences of Players and Facilitators Regarding a Collaborative, Inclusive Football Program Between Academy and Special Olympics Footballers.","This study provides insight into an inclusive program between Special Olympics (SO) and academy football (soccer) players in the United Kingdom from the perspectives of players and facilitators. Qualitative focus groups were conducted across 30 participants (six facilitators, 14 Premier League academy players, and 10 SO players). Focus groups compared stakeholders' experiences of participating in a season-long inclusive football program. Three overarching higher order themes were generated, which highlighted positive outcomes from taking part. SO players provided endorsement for developing friendships and improving football skills, whereas academy players cited the positive impact that SO players had on their mood and motivation. Facilitators reflected on positive player outcomes and subsequent accomplishments. Overall, the findings indicated that this shared experience had psychosocial and football-specific benefits for everyone who participated. Facilitators indicated that these benefits could transition into everyday life but noted that there needs to be further considerations for future programs.","[('football', 'sport', 96, 104), ('soccer', 'sport', 106, 112), ('football', 'sport', 424, 432), ('football', 'sport', 623, 631), ('football', 'sport', 904, 912)]"
37665850,The causal impacts of empty stadiums on women's sports activities: Evidence from European football leagues.,"This paper examines the effect of spectators on women's football games. COVID-19 and related restrictions provide a unique opportunity with an adequate sample size to test the effect of lockdown on sports activities. Studies have recently exploited this opportunity for men's football to better understand the potential causes of home advantage and, more specifically, assess the psychological consequences when matches are played without supporters. Despite the increased scientific interest, there was only one paper that focused on women's football. Therefore, we aim to contribute to this research field by considering matches from four major European women's football leagues. The findings suggest that for three of these leagues, lockdown has a statistically significant effect on the sanctioned yellow cards by either reducing the number of yellow cards sanctioned to the away teams or increasing the number of yellow cards sanctioned to the home teams. Nonetheless, lockdown does not affect any final match outcomes; therefore, it does not significantly affect the magnitude of home advantage for women's games.","[('football', 'sport', 56, 64), ('football', 'sport', 276, 284), ('football', 'sport', 543, 551), ('football', 'sport', 664, 672)]"
36811545,Characteristics of Wheelchair Basketball Falls During the Tokyo 2020 Paralympics by Sex and Physical Impairment Classification: A Video-Based Observational Study.,"The aim of the study is to evaluate the fall characteristics of wheelchair basketball players by sex and impairment classification using the official videos of the Tokyo 2020 Summer Paralympic Games.This was a video-based observational study. In total, 42 men's and 31 women's wheelchair basketball game videos were obtained from the official International Paralympic Committee. The videos were analyzed to assess the number of falls, playing time of the fall, playing phase, contact, foul judgment, fall location/direction, and the body part that first impacted the floor.A total of 1269 falls (men, n = 944; and women, n = 325) occurred. The analysis of men demonstrated significant differences in rounds, playing phase, location of fall, and body part first impacted. Women demonstrated significant differences in all categories except in rounds. Comparisons by functional impairment showed different trends for men and women.The detailed observation of videos suggested that men are more likely to have dangerous falls. There is a necessity for discuss the prevention measures based on sex and impairment classification.","[('wheelchair basketball', 'sport', 64, 85), ('wheelchair basketball', 'sport', 277, 298)]"
