article_id,article_title,abstract_text,annotations
37900877,Practicing Outside the Lines: Using Acupuncture in the Athletic Training Room and on the Field.,"Acupuncture can be used to treat athletes in an outpatient clinic setting, athletic training room, or even on a football field sideline. This article details 3 scenarios, in 3 illustrative cases, in which acupuncture was used for sports medicine in more unconventional settings. The author describes each case and shares his observations about them. First, acupuncture was used on a high-school football field sideline to help alleviate acute calf cramping in a player. Second, acupuncture was used in a division 2 college athletic training room to treat a player with subacute thoracic pain that was not improving with the usual treatments provided by the athletic trainers. Third, acupuncture was used to treat hamstring strain and tightness in a professional National Football League player to enhance his performance. These situations demonstrate the versatility of acupuncture in the realm of sports medicine. Acupuncture is an added-value service for athletes, and acupuncture providers should not be afraid to promote it in this population that is always looking for a competitive advantage.","[('football', 'sport', 112, 120), ('football', 'sport', 395, 403), ('calf cramping', 'disease', 443, 456), ('thoracic pain', 'disease', 578, 591), ('football', 'sport', 771, 779)]"
37340004,Leveraging football accelerometer data to quantify associations between repetitive head impacts and chronic traumatic encephalopathy in males.,"Chronic traumatic encephalopathy (CTE) is a neurodegenerative tauopathy associated with repetitive head impacts (RHI), but the components of RHI exposure underlying this relationship are unclear. We create a position exposure matrix (PEM), composed of American football helmet sensor data, summarized from literature review by player position and level of play. Using this PEM, we estimate measures of lifetime RHI exposure for a separate cohort of 631 football playing brain donors. Separate models examine the relationship between CTE pathology and players' concussion count, athletic positions, years of football, and PEM-derived measures, including estimated cumulative head impacts, linear accelerations, and rotational accelerations. Only duration of play and PEM-derived measures are significantly associated with CTE pathology. Models incorporating cumulative linear or rotational acceleration have better model fit and are better predictors of CTE pathology than duration of play or cumulative head impacts alone. These findings implicate cumulative head impact intensity in CTE pathogenesis.","[('chronic traumatic encephalopathy', 'disease', 0, 32), ('cte', 'disease', 34, 37), ('neurodegenerative tauopathy', 'disease', 44, 71), ('american football', 'sport', 252, 269), ('football', 'sport', 453, 461), ('cte pathology', 'disease', 533, 546), ('football', 'sport', 607, 615), ('cte pathology', 'disease', 821, 834), ('cte pathology', 'disease', 953, 966), ('cte', 'disease', 1084, 1087)]"
37316911,"The effect of a course of selected corrective exercises on posture, scapula-humeral rhythm and performance of adolescent volleyball players with upper cross syndrome.","This study aims to investigate the effect of a course of selected corrective exercises on posture, scapula-humeral rhythm and performance of adolescent volleyball players.30 adolescent volleyball players with upper cross syndrome were purposefully selected and assigned into 2 control and training groups. The degree of back curvature was evaluated using a flexible ruler, forward head and forward shoulder size by photographic method, scapula-humeral rhythm by Lateral Scapular Slide Test (LSST), and performance by closed kinetic chain test. The training group performed the exercises for 10 weeks. After the exercises, the post-test was administered. To analyze the data, analysis of co-variance tests and paired t-test at the level of 0.05 were employed.The research results showed that corrective exercises have a significant effect on abnormalities of forward head, forward shoulder, kyphosis, scapula-humeral rhythm and performance.Corrective exercises can be effective in reducing shoulder girdle and spine abnormalities and improving scapula- humeral rhythm and performance of volleyball players.","[('volleyball', 'sport', 152, 162), ('volleyball', 'sport', 185, 195), ('upper cross syndrome', 'disease', 209, 229), ('abnormalities of forward head, forward shoulder', 'disease', 841, 888), ('kyphosis', 'disease', 890, 898), ('shoulder girdle and spine abnormalities', 'disease', 989, 1028), ('volleyball', 'sport', 1086, 1096)]"
37358314,Backheel Pass During Forward Running as a Mechanism of Severe Acute Hamstring Injury in Football: A Case Report.,"Proximal hamstring tendon avulsions represent the most severe hamstring injury in sports and are typically sustained during stretch-related movements in closed kinetic chain: forced hip hyperflexion combined with knee extension. Here, we present the case study of the right-foot dominant professional football player with a severe proximal hamstring tendon avulsion injury and concomitant lower-grade injuries of hamstring muscle-tendon complex caused by a potentially new football-specific injury mechanism: right-foot backheel pass during forward running (ie, a kick directly backward). This mechanism involves a specific stretch-shortening cycle action of hamstring muscles in open-kinetic chain movement that has not yet been described in the scientific literature. Although further studies related to this football-specific hamstring injury mechanism are needed, clinicians and coaches working in football should be aware of it and potentially introduce additional injury mechanism-specific exercises and strategies for prevention of severe hamstring injuries which often require surgical intervention.","[('proximal hamstring tendon avulsions', 'disease', 0, 35), ('hamstring injury', 'disease', 62, 78), ('hip hyperflexion', 'disease', 182, 198), ('football', 'sport', 301, 309), ('proximal hamstring tendon avulsion injury', 'disease', 331, 372), ('injuries of hamstring muscle-tendon complex', 'disease', 401, 444), ('football', 'sport', 473, 481), ('football', 'sport', 811, 819), ('hamstring injury', 'disease', 829, 845), ('football', 'sport', 902, 910), ('hamstring injuries', 'disease', 1046, 1064)]"
37494608,Organized Sports Activities Are Safe for Children With Sickle Cell Disease: A Pilot Intervention Study.,"Historically, children with sickle cell disease (SCD) are advised to refrain from sports activities, based on the assumption that physical exercise can trigger vaso-occlusive episodes. This pilot intervention study examined the safety (ie, no vaso-occlusive episodes) of a 10-week organized sports program for children with SCD. Eight children with SCD (5 boys/3 girls), aged 7 to 12 years old, received 10 training sessions (each 90 min) once a week. Training sessions were performed by a professional soccer club under the supervision of a medical team from the Wilhelmina Children's Hospital. During the study period, one child experienced a vaso-occlusive crisis, which could not be directly related to the organized sports program. None of the other children experienced vaso-occlusive episodes. The results of this study indicate that children with SCD can participate safely in moderate-intensity organized sports activities when personalized medical background and practical training information is shared with the trainer beforehand. All children continued their sports participation after the study period.","[('sickle cell disease', 'disease', 28, 47), ('scd', 'disease', 49, 52), ('scd', 'disease', 324, 327), ('scd', 'disease', 349, 352), ('soccer', 'sport', 503, 509), ('vaso-occlusive crisis', 'disease', 645, 666), ('scd', 'disease', 855, 858)]"
37999446,Effect of a 6-Week Preseason Training Protocol on Physiological and Muscle Damage Markers in High-Level Female and Male Basketball Players.,"This study aimed to investigate the effects of a 6-week preseason functional and plyometric fitness training protocol, on physiological and biochemical markers of performance and exercise-induced muscle damage, and to compare the response of these markers between high-level female and male basketball players. The sample of the study consisted of 19 professional athletes (10 male; 9 female) competing in two different teams. The examined markers were body mass, BMI, fat percentage, speed, acceleration, explosiveness, vertical jumping ability, creatine kinase (CK) and lactate dehydrogenase (LDH). The preseason training period improved speed, acceleration, explosiveness and vertical jumping ability (~1-8%) and led to significant fat percentage reductions in both groups equivalently. CK and LDH increased similarly in both groups, and the percentage increases were higher for CK compared to LDH. Further investigation and a larger sample size are required in order to determine an approach that is more capable of maximizing performance without causing any possible injuries that may be related to muscle damage.","[('muscle damage', 'disease', 196, 209), ('basketball', 'sport', 291, 301), ('muscle damage', 'disease', 1104, 1117)]"
36814430,A Central Slip Injury in a Professional Basketball Player.,"Hand injuries are extremely prevalent in sports such as ball sports. Delayed diagnosis or improperly managed injuries have the potential to prolong the athlete's return to the competition and permanently damage their abilities. We report the case of a 35-year-old male professional basketball player who presented to a chiropractor with pain and swelling of the right fifth finger two days after a basketball game. The injury occurred when a player passed the basketball and the ball hit his fifth finger ""head-on"". Examination revealed enlargement of the middle joint of the right fifth finger and a boutonniere deformity. He was diagnosed with a central slip injury using magnetic resonance imaging (MRI). Since there are no standard treatment guidelines for central slip injuries, multi-model chiropractic therapy was applied to the injury and adjacent sites. The patient returned to the game by the end of the third week and fully recovered within six weeks. Chiropractors must understand how to best guide athletes' clinical management of these injuries, given the inherent need for immediate and complete recovery.","[('hand injuries', 'disease', 0, 13), ('basketball', 'sport', 282, 292), ('swelling of the right fifth finger', 'disease', 346, 380), ('basketball', 'sport', 398, 408), ('basketball', 'sport', 460, 470), ('boutonniere deformity', 'disease', 601, 622), ('central slip injury', 'disease', 648, 667), ('central slip injuries', 'disease', 761, 782), ('injury', 'disease', 836, 842)]"
37292004,"Information shocks and celebrity exposure: The effect of ""Magic"" Johnson on AIDS diagnoses and mortality in the U.S.","We present evidence that Earvin ""Magic"" Johnson's announcement that he contracted HIV served as a public-health catalyst for rapidly correcting the public's understanding of who was at risk of infection. Using a novel identification strategy, we present evidence that there was a large but temporary increase in the number of AIDS diagnoses for heterosexual men following the announcement. This effect was concentrated in areas with greater prior exposure to Johnson. We show that these men were both more likely to have been diagnosed via a formal blood test and less likely to die within 1 decade of their initial diagnosis-suggesting that Johnson's announcement caused an intertemporal substitution in testing which prolonged patients' lifespans as a result of earlier access to medical care. We estimate that Johnson's announcement caused approximately 800 additional heterosexual males in the United States in metropolitan statistical areas with National Basketball Association franchises men to discover their underlying AIDS diagnosis and, of whom, were more likely to live at least 1 decade beyond their initial diagnosis date.","[('aids', 'disease', 326, 330), ('basketball', 'sport', 960, 970), ('aids', 'disease', 1027, 1031)]"
37520793,Media Framing of Women's Football During the COVID-19 Pandemic.,"This article examines British media coverage of women's association football during the coronavirus (COVID-19) pandemic, to identify how the media framed the women's game and how these frames could shape the public perceptions of it. Through a database search of British-based news coverage of women's football, 100 news articles were identified in the first 6 months after the start of the pandemic. A thematic analysis was conducted, and five dominant frames were detected in the context of COVID-19: 1) ; 2) ; 3)  (e.g., alterations to national and international competitions); 4)  and 5)  (e.g., welfare, uncertain working conditions). These frames depart from the past trivialisation and sexualisation of women's sport, demonstrate the increased visibility of women's football, and shift the narrative towards the elite stratum of the game. Most of this reporting was by women journalists, while men were shown to write less than women about women's football. This research advocates continued diversification of the sports journalism workforce to dissolve the hegemonic masculine culture that still largely dominates the industry.","[('football', 'sport', 68, 76), ('covid-19)', 'disease', 101, 110), ('football', 'sport', 302, 310), ('covid-19', 'disease', 493, 501), ('football', 'sport', 773, 781), ('football', 'sport', 955, 963)]"
36844988,Chiropractic Management of Chronic Ankle Pain and Limited Mobility in a Pediatric Athlete: A Case Report.,"The purpose of this case study was to report the chiropractic management of a teenage athlete who had chronic pain after a lateral ankle sprain.A 15-year-old male patient presented with persistent ankle pain due to an inversion sprain while playing soccer approximately 8.5 months prior. Emergency department records noted a left lateral ankle sprain, including the anterior talofibular ligament, calcaneofibular ligament, and posterior talofibular ligament. The examination revealed ankle tenderness upon palpation, limited active and passive dorsiflexion range of motion, restricted talocrural joint posterior glide, and moderate lateral compartment muscular hypertonicity.Chiropractic management included high-velocity, low-amplitude chiropractic ankle manipulation and education on home-based ankle dorsiflexion stretching. After 4 treatments, the athlete returned to unencumbered athletic participation. Follow-up evaluation at 5 months revealed no pain or functional complaints.This teen athlete's chronic pain from a lateral ankle sprain resolved with a short course of chiropractic manipulation coupled with home-based stretching.","[('chronic pain', 'disease', 102, 114), ('soccer', 'sport', 249, 255), ('muscular hypertonicity', 'disease', 652, 674), ('chronic pain', 'disease', 1004, 1016)]"
37956908,Successful Treatment of Early Ischemic Contracture in the Upper Arm Caused by Traumatic Hematoma Through Surgical Muscle Release and Continuous Passive Motion: Case Report.,"Compartment syndrome is a condition that occurs when there is an increase in pressure within a muscle compartment, leading to a decrease in blood flow to the muscles and nerves within that compartment. If left untreated, this can lead to ischemic contracture, which is a late sequelae of compartment syndrome that occurs when there is sustained ischemic damage to the muscles. Timely diagnosis and treatment are critical in reducing the extent of permanent changes within muscle and nerve tissue. No previously published studies have reported on the treatment of early ischemic contracture resulting from traumatic hematoma in the upper arm. We present an exceptional case involving a 17-year-old male who developed this condition following a collision during a basketball game, resulting in a hematoma with severe pain, tightness, and restricted range of motion in the affected arm. He was treated through surgical intervention involving surgical muscle release, hematoma evacuation, and continuous passive motion (CPM) postoperatively to restore the range of motion and improve overall function with complete recovery at the 27-month follow-up.","[('compartment syndrome', 'disease', 0, 20), ('ischemic contracture', 'disease', 238, 258), ('compartment syndrome', 'disease', 288, 308), ('ischemic damage to the muscles', 'disease', 345, 375), ('ischemic contracture', 'disease', 569, 589), ('traumatic hematoma', 'disease', 605, 623), ('basketball', 'sport', 762, 772), ('hematoma', 'disease', 794, 802)]"
37486253,Adductor longus and brevis lesion in an amateur soccer player: platelet rich plasma and multifractioned hyaluronic acid injections to enhance clinical recovery.,"Groin pain is a common issue in athletes, with a particularly high incidence in male soccer players. Adductor muscles are the most involved site of the groin, accounting for up to one-fourth of muscle injuries of that region. Physical therapy and rehabilitation programs for adductor-related groin pain using active exercises are effective in getting athletes back to sport. However, the return-to-play time varies according to the injury severity. Minor lesions can recover in 1-2 weeks, while severer injuries require 8-12 weeks. To enhance tendon healing and shorten the return to play time, intrandentinous injections of Platelet Rich Plasma (PRP) have been proposed. An increasing body of evidence in literature have shown efficacy of platelet rich plasma in aiding the healing process in tendinopathies. Similarly, more recent evidences have proven hyaluronic (HA) acid to have anti-inflammatory, proliferative, repairing, and analgesic effects. This case report presents the clinical application of combined PRP and a multifractioned (a mixture of different molecular weights) HA in a 24-year-old athlete suffering from a hip adductor rupture.","[('groin pain', 'disease', 0, 10), ('soccer', 'sport', 85, 91), ('muscle injuries', 'disease', 194, 209), ('adductor-related groin pain', 'disease', 275, 302), ('groin pain', 'disease', 292, 302), ('tendinopathies', 'disease', 794, 808), ('hip adductor rupture', 'disease', 1129, 1149)]"
36844000,Football training as a non-pharmacological treatment of the global aging population-A topical review.,"In the present topical mini-review, the beneficial impact of small-sided game football training for the increasing elderly global population is presented. As a multicomponent type of physical activity, football training executed on small pitched with 4-6 players in each team is targeting a myriad of physiological systems and causes positive adaptations of relevance for several non-communicable diseases, of which the incidence increases with advancing age. There is strong scientific evidence that this type of football training promotes cardiovascular, metabolic and musculo-skeletal health in elderly individuals. These positive adaptations can prevent cardiovascular disease, type 2 diabetes, sarcopenia and osteoporosis, and lower the risk of falls. Also, football training has been proven an efficient part of the treatment of several patient groups including men with prostate cancer and women after breast cancer. Finally, regular football training has an anti-inflammatory effect and may slow the biological aging. Overall, there is a growing body of evidence suggesting that recreational football training can promote health in the elderly.","[('football', 'sport', 78, 86), ('football', 'sport', 202, 210), ('football', 'sport', 514, 522), ('cardiovascular disease', 'disease', 658, 680), ('type 2 diabetes', 'disease', 682, 697), ('sarcopenia', 'disease', 699, 709), ('osteoporosis', 'disease', 714, 726), ('football', 'sport', 763, 771), ('prostate cancer', 'disease', 877, 892), ('breast cancer', 'disease', 909, 922), ('football', 'sport', 941, 949), ('football', 'sport', 1100, 1108)]"
37574608,In-depth mass spectrometry analysis of rhGH administration altered energy metabolism and steroidogenesis.,"Growth hormone, as a proteohormone, is primarily known of its dramatic effect on longitudinal growth. Recombinant DNA technology has provided a safe, abundant and comparatively cheap supply of human GH for growth hormone-deficient individuals. However, many healthy subjects, especially athletics, administrate GH for enhanced athletic performance or strength. A better and more comprehensive understanding of rhGH effect in healthy individuals is urgent and essential. In this study, we recruited 14 healthy young male and injected rhGH once. Untargeted LC-MS metabolomics profiling of serum and urine was performed before and after the rhGH injection. The GH-induced dysregulation of energy related pathways, such as amino acid metabolism, nucleotide metabolism, glycolysis and TCA cycle, was revealed. Moreover, individuals supplemented with micro-doses of rhGH exhibited significantly changed urinary steroidal profiles, suggesting a role of rhGH in both energy metabolism and steroidogenesis. We expect that our results will be helpful to provide new evidence on the effects of rhGH injection and provide potential biomarkers for rhGH administration.","[('growth hormone-deficient', 'disease', 206, 230), ('athletics', 'sport', 287, 296)]"
37255640,Mallet Finger Autofusion in Adolescent Post-Pin Fixation Surgery - A Case Report.,"Mallet finger is a common hand injury in sports in which the terminal extensor tendon is disrupted. This case report describes the rare occurrence of joint autofusion following surgical fixation of an unstable mallet finger injury.We present a case of a 13-year-old right-hand dominant boy who sustained a right long finger bony mallet injury while playing football. Treatment consisted of closed reduction, percutaneous pinning of the right long finger distal interphalangeal (DIP) joint. He went on to heal with residual DIP joint stiffness and only 20° of residual motion that were noted on the early follow-up. Seven years later, he presented with no motion at the right long finger DIP joint. X-rays of his right long finger showed a complete fusion of bone across the DIP joint.Autofusion as a complication of mallet finger surgery is an unprecedently rare finding, especially in the absence of any predisposing factors. This complication must be considered when treating mallet finger injuries through surgical intervention. Fortunately, the loss of DIP motion, complete in this case, had no long-term effect on the overall use of this patient's hand.","[('hand injury', 'disease', 26, 37), ('mallet finger injury', 'disease', 210, 230), ('right long finger bony mallet injury', 'disease', 306, 342), ('football', 'sport', 357, 365), ('mallet finger injuries', 'disease', 978, 1000)]"
