article_id,article_title,abstract_text,annotations
38269466,[Research progress on the mechanism of -lactam resistance in group A  ].,"-lactams, including penicillin, have been used for over 80 years in the treatment of group A  (GAS) infections. Although -lactam-resistant GAS strains have not been identified  tests, clinical treatment failures have been reported since the 1950s. The mechanism underlying the clinical failure of -lactam treatment in GAS infections remains unclear. Previous research has suggested that -lactam resistance in GAS  is associated with reduced drug susceptibility of strains, bacterial inoculation effects, biofilm formation, the effect of coexisting bacteria, bacterial persistence, and bacterial internalization into host cells. This article reviews the main reports on -lactam treatment failure in GAS infections and analyzes the possible mechanisms of -lactam resistance . The findings aim to contribute to future research and clinical approaches in the field.","[('group a  (gas) infections', 'disease', 85, 110), ('gas infections', 'disease', 318, 332), ('gas infections', 'disease', 698, 712)]"
38265250,Mild airways obstruction: spirometric diagnostic pitfalls and solutions.,"Spirometry is a validated tool in the diagnosis of obstructive airways disease. However, it may be insufficiently sensitive in detecting airflow limitation in the small airways. This review highlights common clinical scenarios wherein airflow limitation may be missed or overlooked.This article covers recent literature on the interpretation of lung function test, focusing on detection of mild obstructive airways disease. It also sheds light on the contextual difficulties of defining mild airflow limitation on spirometry.We highlight the consensus definition of mild obstructive airways disease and emphasize that this definition does not necessarily mean mild in certain disease-specific contexts. Several spirometric findings outside of a reduced forced expiratory volume in one second/forced vital capacity ratio should raise suspicion of mild obstruction.","[('obstructive airways disease', 'disease', 51, 78), ('obstructive airways disease', 'disease', 395, 422), ('obstructive airways disease', 'disease', 571, 598)]"
38266064,Emergency department management of patients with right heart failure.,"Right heart failure (RHF) can result from many cardiac, pulmonary, and systemic pathologies. Common causes of RHF include pulmonary embolism, left heart failure, congenital heart disease, chronic lung disease, acute myocardial infarction, infiltrative disease, infectious disease, and valvular abnormalities. Acute and chronic RHF confer a high risk for morbidity and mortality in the acute care setting, and interventions commonly used in emergency care can prompt acute decompensation if the RHF is not recognized. The severity of presentation may range from compensated clinically silent cardiovascular dysfunction to venous congestion, multiorgan failure, and circulatory collapse. This review describes the pathophysiology of right heart failure and offers an evidence-based approach to the diagnosis, management, and disposition of both acute and chronic RHF.","[('right heart failure', 'disease', 0, 19), ('rhf', 'disease', 21, 24), ('cardiac, pulmonary, and systemic pathologies', 'disease', 47, 91), ('rhf', 'disease', 110, 113), ('pulmonary embolism', 'disease', 122, 140), ('left heart failure', 'disease', 142, 160), ('congenital heart disease', 'disease', 162, 186), ('chronic lung disease', 'disease', 188, 208), ('acute myocardial infarction', 'disease', 210, 237), ('infiltrative disease', 'disease', 239, 259), ('infectious disease', 'disease', 261, 279), ('valvular abnormalities', 'disease', 285, 307), ('rhf', 'disease', 327, 330), ('rhf', 'disease', 494, 497), ('cardiovascular dysfunction', 'disease', 591, 617), ('multiorgan failure', 'disease', 640, 658), ('circulatory collapse', 'disease', 664, 684), ('right heart failure', 'disease', 731, 750), ('rhf', 'disease', 861, 864)]"
38269693,Designing a Digital Health Solution: A Platform for Automated Surveillance of Fungal Infection.,"Surveillance of invasive fungal infection (IFI) requires laborious review of multiple sources of clinical information, while applying complex criteria to effectively identify relevant infections. These processes can be automated using artificial intelligence (AI) methodologies, including applying natural language processing (NLP) to clinical reports. However, developing a practically useful automated IFI surveillance tool requires consideration of the implementation context. We employed the Design Thinking Framework (DTF) to focus on the needs of end users of the tool to ensure sustained user engagement and enable its prospective validation. DTF allowed iterative generation of ideas and refinement of the final digital health solution. We believe this approach is key to increasing the likelihood that the solution will be implemented in clinical practice.","[('invasive fungal infection', 'disease', 16, 41), ('ifi', 'disease', 43, 46), ('ifi', 'disease', 404, 407)]"
38267212,"Discovery of KIN-3248, An Irreversible, Next Generation FGFR Inhibitor for the Treatment of Advanced Tumors Harboring FGFR2 and/or FGFR3 Gene Alterations.","Fibroblast growth factor receptor (FGFR) alterations are present as oncogenic drivers and bypass mechanisms in many forms of cancer. These alterations can include fusions, amplifications, rearrangements, and mutations. Acquired drug resistance to current FGFR inhibitors often results in disease progression and unfavorable outcomes for patients. Genomic profiling of tumors refractory to current FGFR inhibitors in the clinic has revealed several acquired driver alterations that could be the target of next generation therapeutics. Herein, we describe how structure-based drug design (SBDD) was used to enable the discovery of the potent and kinome selective pan-FGFR inhibitor , which is active against many acquired resistance mutations.  is currently in phase I clinical development for the treatment of advanced tumors harboring FGFR2 and/or FGFR3 gene alterations.","[('fibroblast growth factor receptor (fgfr) alterations', 'disease', 0, 52), ('cancer', 'disease', 125, 131), ('tumors', 'disease', 368, 374), ('tumors', 'disease', 818, 824)]"
38263463,Lithium carbonate revitalizes tumor-reactive CD8 T cells by shunting lactic acid into mitochondria.,"The steady flow of lactic acid (LA) from tumor cells to the extracellular space via the monocarboxylate transporter symport system suppresses antitumor T cell immunity. However, LA is a natural energy metabolite that can be oxidized in the mitochondria and could potentially stimulate T cells. Here we show that the lactate-lowering mood stabilizer lithium carbonate (LC) can inhibit LA-mediated CD8 T cell immunosuppression. Cytoplasmic LA increased the pumping of protons into lysosomes. LC interfered with vacuolar ATPase to block lysosomal acidification and rescue lysosomal diacylglycerol-PKCθ signaling to facilitate monocarboxylate transporter 1 localization to mitochondrial membranes, thus transporting LA into the mitochondria as an energy source for CD8 T cells. These findings indicate that targeting LA metabolism using LC could support cancer immunotherapy.","[('tumor', 'disease', 41, 46), ('cancer', 'disease', 850, 856)]"
38264805,Naturally occurring splice variants dissect the functional domains of BHC80 and emphasize the need for RNA analysis.,"Pathogenic PHF21A variation causes PHF21A-related neurodevelopmental disorders (NDDs). Although amorphic alleles, including haploinsufficiency, have been established as a disease mechanism, increasing evidence suggests that missense variants as well as frameshift variants extending the BHC80 carboxyl terminus also cause disease. Expanding on these, we report a proposita with intellectual disability and overgrowth and a novel de novo heterozygous PHF21A splice variant (NM_001352027.3:c.[153+1G>C];[=]) causing skipping of exon 6, which encodes an in-frame BHC80 deletion (p.(Asn30_Gln51del)). This deletion disrupts a predicted leucine zipper domain and implicates this domain in BHC80 function and as a target of variation causing PHF21A-related NDDs. This extension of understanding emphasizes the application of RNA analysis in precision genomic medicine practice.","[('neurodevelopmental disorders', 'disease', 50, 78), ('ndds', 'disease', 80, 84), ('ndds', 'disease', 751, 755)]"
38262804,An introduction to low dose radiation therapy for shoulder osteoarthritis.,"Osteoarthritis (OA) is a painful, degenerative disease that affects the tissues of the joint spaces, such as the shoulder. Conventional medical treatment options, such as corticosteroid injections and anti-inflammatory medications, are not always sufficient to alleviate the symptoms from this disease. Low dose radiotherapy is a newer treatment option for patients with shoulder osteoarthritis and has shown positive outcomes. However, the problem is that there is a paucity of literature about treatment planning considerations for this new treatment option. The purpose of this case study was to provide an example of treatment planning techniques and considerations for shoulder osteoarthritis. Treatment techniques for shoulder LDRT, such as treatment field borders, prescribed dose, beam arrangements, appropriate beam energy, and special considerations are discussed.","[('osteoarthritis', 'disease', 0, 14), ('oa', 'disease', 16, 18), ('degenerative disease', 'disease', 34, 54), ('corticosteroid injections', 'disease', 171, 196), ('shoulder osteoarthritis', 'disease', 371, 394), ('shoulder osteoarthritis', 'disease', 674, 697)]"
38269602,Precision Medicine in Parkinson's Disease using Induced Pluripotent Stem Cells.,"Parkinson's Disease (PD) is one of the most devastating neurological diseases, however there is no effective cure yet. The availability of human induced pluripotent stem cells (iPSCs) provides unprecedented opportunities to understand the pathogenic mechanism and identification of new therapy for PD. In this review, we will introduce new model system of PD, including two-dimensional (2D) human iPSC-derived midbrain dopaminergic (mDA) neurons, 3D iPSC-derived midbrain organoids (MOs) with cellular complexity, and more advanced microphysiological systems (MPS) with three-dimensional (3D) organoids. We believe that successful integrations and applications of iPSC, organoid, and MPS technologies can bring new insight on PD's pathogenesis that will lead to more effective treatments for this debilitating disease. This article is protectd by copyright. All rights reserved.","[(""parkinson's disease"", 'disease', 0, 19), ('pd', 'disease', 21, 23), ('neurological diseases', 'disease', 56, 77), ('pd', 'disease', 298, 300), ('pd', 'disease', 356, 358), ('pd', 'disease', 726, 728)]"
38264827,Established and emerging biomarkers of immunotherapy in renal cell carcinoma.,"Immunotherapies, such as immune checkpoint inhibitors, have heralded impressive progress for patient care in renal cell carcinoma (RCC). Despite this success, some patients' disease fails to respond, and other patients experience significant side effects. Thus, development of biomarkers is needed to ensure that patients can be selected to maximize benefit from immunotherapies. Improving clinicians' ability to predict which patients will respond to immunotherapy and which are most at risk of adverse events - namely through clinical biomarkers - is indispensable for patient safety and therapeutic efficacy. Accordingly, an evolving suite of therapeutic biomarkers continues to be investigated. This review discusses biomarkers for immunotherapy in RCC, highlighting current practices and emerging innovations, aiming to contribute to improved outcomes for patients with RCC.","[('renal cell carcinoma', 'disease', 109, 129), ('rcc', 'disease', 131, 134), ('rcc', 'disease', 753, 756), ('rcc', 'disease', 875, 878)]"
38267114,Racial and Ethnic Disparities in Perioperative Health Care Among Patients Undergoing Cardiac Surgery: JACC State-of-the-Art Review.,"There has been little progress in reducing health care disparities since the 2003 landmark Institute of Medicine's report Unequal Treatment. Despite the higher burden of cardiovascular disease in underrepresented racial and ethnic groups, they have less access to cardiologists and cardiothoracic surgeons, and have higher rates of morbidity and mortality with cardiac surgical interventions. This review summarizes existing literature and highlights disparities in cardiovascular perioperative health care. We propose actionable solutions utilizing multidisciplinary perspectives from cardiology, cardiac surgery, cardiothoracic anesthesiology, critical care, medical ethics, and health disparity experts. Applying a health equity lens to multipronged interventions is necessary to eliminate the disparities in perioperative health care among patients undergoing cardiac surgery.","[('cardiovascular disease', 'disease', 170, 192)]"
38268831,Molecular crosstalk between circadian clock and NLRP3 inflammasome signaling in Parkinson's disease.,"Parkinson's disease (PD) is one of the most common neurodegenerative diseases. Research has recently found that both animal models and patients with PD have circadian dysfunction, accompanied by abnormal expression of circadian genes and proteins, which implies that the circadian clock plays a crucial role in PD etiopathogenesis. In addition, a strong relationship between NLRP3 inflammasome signaling and PD has been observed. Meanwhile, the activation of the NLRP3 inflammasome is highly relevant to dysfunctions of the molecular clock. Therefore, alleviating the neuroinflammation caused by NLRP3 inflammasome signaling by adjusting the abnormal molecular clock may be a potential strategy for preventing and treating PD. In this article, we have reviewed the potential or direct relationship between abnormalities of the circadian clock and NLRP3 inflammasome signaling in PD.","[(""parkinson's disease"", 'disease', 0, 19), ('pd', 'disease', 21, 23), ('neurodegenerative diseases', 'disease', 51, 77), ('pd', 'disease', 149, 151), ('circadian dysfunction', 'disease', 157, 178), ('pd', 'disease', 311, 313), ('pd', 'disease', 408, 410), ('pd', 'disease', 723, 725), ('pd', 'disease', 879, 881)]"
38263152,Exogenous carbon monoxide promotes GPX4-dependent ferroptosis through ROS/GSK3β axis in non-small cell lung cancer.,"The gas therapy is drawing increasing attention in the treatment of many diseases including cancer. As one of gas signaling molecules, carbon monoxide (CO) has been proved to exert anti-cancer effects via triggering multiple cell death types, such as autophagy, apoptosis and necrosis. Here, we showed that low concentration CO delivered from CO-releasing molecule 3 (CORM-3) effectively induced ferroptosis, known as a novel proinflammatory programmed cell death, in vitro and in vivo. Mechanistically, we found that CO triggered ferroptosis by modulating the ROS/GSK3β/GPX4 signaling pathway, resulting in the accumulation of lipid hydroperoxides and the occurrence of ferroptosis. We think our findings provide novel insights into the anti-cancer mechanisms of CO, and suggest that CO could potentially be exploited as a novel ferroptosis inducer for cancer treatment in the future.","[('cancer', 'disease', 92, 98), ('cancer', 'disease', 854, 860)]"
38262120,Recent advances in the development of deubiquitinases inhibitors as antitumor agents.,"Ubiquitination is a type of post-translational modification that covalently links ubiquitin to a target protein, which plays a critical role in modulating protein activity, stability, and localization. In contrast, this process is reversed by deubiquitinases (DUBs), which remove ubiquitin from ubiquitinated substrates. Dysregulation of DUBs is associated with several human diseases, such as cancer, inflammation, neurodegenerative disorders, and autoimmune diseases. Thus, DUBs have become promising targets for drug development. Although the physiological and pathological effects of DUBs are increasingly well understood, the clinical drug discovery of selective DUB inhibitors has been challenging. Herein, we summarize the structures and functions of main classes of DUBs and discuss the recent progress in developing selective small-molecule DUB inhibitors as antitumor agents.","[('cancer', 'disease', 394, 400), ('neurodegenerative disorders', 'disease', 416, 443), ('autoimmune diseases', 'disease', 449, 468)]"
38261739,An unusual co-reactivation of herpes genitalis and shingles in a young male with primary genital herpes in partner.,"Herpes simplex virus type 2 (HSV-2) is the most common cause of genital ulcers in industrialized countries. Herpes zoster (HZ) is an acute, cutaneous viral infection caused by the reactivation of the varicella-zoster virus (VZV).A 27-year-old male presented with painful vesicles over the trunk for the last 5 days with painful genital erosions for the last 2 days. His spouse also developed painful genital erosions with systemic complaints for the last 2 days. VZV Polymerase Chain reaction (PCR) from trunk vesicles and type-specific anti-HSV antibody from serum were positive from the index case.Here, we report an unusual case of co-reactivation of herpes zoster and genitalis in an immunocompetent male. We recommend the use of molecular testing to confirm the diagnosis of VZV or HSV infection in all cases of genital herpes-like lesions to exclude multi-segmental herpes zoster.","[('genital ulcers', 'disease', 64, 78), ('herpes zoster', 'disease', 108, 121), ('hz', 'disease', 123, 125), ('acute, cutaneous viral infection', 'disease', 133, 165), ('herpes zoster', 'disease', 654, 667), ('vzv or hsv infection', 'disease', 780, 800), ('herpes zoster', 'disease', 872, 885)]"
38267398,Close monitoring and early intervention: management principles for cystic fibrosis in Denmark.,"Cystic fibrosis (CF) care in Denmark has been characterized by close monitoring and pre-emptive treatment of lung disease and other CF-related complications. Continuous evaluation through data collection and commitment to clinical research has incrementally improved outcomes. This approach has been in line with best practices set forth by European Standards of Care but has also gone beyond Society standards particularly pertaining to early treatment with high-dose combination antimicrobial therapy. Despite a high prevalence of severe CF variants, lung function has been among the best in Europe. In this review, the Danish approach to management of CF prior to the introduction of new CF modulator treatment is explained and benchmarked. Downsides to the Danish approach are discussed and include increased burden of treatment, risk of antimicrobial resistance, side-effects and costs.","[('cystic fibrosis', 'disease', 0, 15), ('cf', 'disease', 17, 19), ('lung disease', 'disease', 109, 121), ('cf-related complications', 'disease', 132, 156), ('cf', 'disease', 540, 542), ('cf', 'disease', 655, 657), ('cf', 'disease', 691, 693)]"
38267627,Inhibition of ADAM9 promotes the selective degradation of KRAS and sensitizes pancreatic cancers to chemotherapy.,"Kirsten rat sarcoma virus (KRAS) signaling drives pancreatic ductal adenocarcinoma (PDAC) malignancy, which is an unmet clinical need. Here, we identify a disintegrin and metalloproteinase domain (ADAM)9 as a modulator of PDAC progression via stabilization of wild-type and mutant KRAS proteins. Mechanistically, ADAM9 loss increases the interaction of KRAS with plasminogen activator inhibitor 1 (PAI-1), which functions as a selective autophagy receptor in conjunction with light chain 3 (LC3), triggering lysosomal degradation of KRAS. Suppression of ADAM9 by a small-molecule inhibitor restricts disease progression in spontaneous models, and combination with gemcitabine elicits dramatic regression of patient-derived tumors. Our findings provide a promising strategy to target the KRAS signaling cascade and demonstrate a potential modality to enhance sensitivity to chemotherapy in PDAC.","[('pancreatic ductal adenocarcinoma', 'disease', 50, 82), ('pdac', 'disease', 84, 88), ('pdac', 'disease', 222, 226), ('tumors', 'disease', 723, 729), ('pdac', 'disease', 889, 893)]"
38263965,Antimicrobial stewardship and targeted therapies in the changing landscape of maternal sepsis.,"Pregnant and postnatal women are a high-risk population particularly prone to rapid progression to sepsis with significant morbidity and mortality worldwide. Moreover, severe maternal infections can have a serious detrimental impact on neonates with almost 1 million neonatal deaths annually attributed to maternal infection or sepsis. In this review we discuss the susceptibility of pregnant women and their specific physiological and immunological adaptations that contribute to their vulnerability to sepsis, the implications for the neonate, as well as the issues with antimicrobial stewardship and the challenges this poses when attempting to reach a balance between clinical care and urgent treatment. Finally, we review advancements in the development of pregnancy-specific diagnostic and therapeutic approaches and how these can be used to optimize the care of pregnant women and neonates.","[('sepsis', 'disease', 99, 105), ('maternal infections', 'disease', 175, 194), ('maternal infection', 'disease', 306, 324), ('sepsis', 'disease', 328, 334), ('sepsis', 'disease', 504, 510)]"
38267322,[The arguments favoring autologous haematopoietic stem cell transplantation in systemic scleroderma].,"Autologous haematopoietic stem cell transplantation for systemic scleroderma, developed over more than 25 years, has shown in three randomised controlled clinical trials a significant impact not only in event-free survival, overall survival, cutaneous and pulmonary involvement, but also in the quality of life of patients living with recent severe diffuse cutaneous systemic scleroderma, compared with IV cyclophosphamid despite a transplant-related mortality between 2.4 and 10%. No immunosuppressants or biologics have shown such an impact on mortality in this disease. The risk of relapse is estimated between 9 and 24%, two years after transplant. On the basis of these results, French and international guidelines now position autologous haematopoietic stem cell transplantation as a level 1A evidence-based therapeutic alternative in severe early and rapidly progressive systemic scleroderma.","[('systemic scleroderma', 'disease', 56, 76), ('cutaneous systemic scleroderma', 'disease', 357, 387), ('systemic scleroderma', 'disease', 878, 898)]"
38262838,Glycosylation in malaria parasites: what do we know?,"In malaria parasites, although post-translational modification of proteins with N-. O-, and C-glycosidic bond-linked glycans is limited, it is confined to relatively fewer proteins in which the glycans are present at significant levels and may have important functions. Furthermore, several proteins are modified with glycosylphosphatidylinositols (GPIs) which represent the predominant glycan synthesized by parasites. Modification of proteins with GPIs is obligatory for parasite survival as GPI-anchored proteins (GPI-APs) play essential roles in all life cycle stages of the parasites, including development, egress, gametogenesis, motility, and host cell adhesion and invasion. Here, we discuss the current knowledge on the structures and potential functions of the glycan moieties of parasite proteins. The knowledge has important implications for the development of drugs and vaccines for malaria.","[('malaria', 'disease', 3, 10), ('malaria', 'disease', 896, 903)]"
38269941,A Deep Learning-Based System for the Assessment of Dental Caries Using Colour Dental Photographs.,"D1ental caries remains the most common chronic disease in childhood, affecting almost half of all children globally. Dental care and examination of children living in remote and rural areas is an ongoing challenge that has been compounded by COVID. The development of a validated system with the capacity to screen large numbers of children with some degree of automation has the potential to facilitate remote dental screening at low costs. In this study, we aim to develop and validate a deep learning system for the assessment of dental caries using color dental photos. Three state-of-the-art deep learning networks namely VGG16, ResNet-50 and Inception-v3 were adopted in the context. A total of 1020 child dental photos were used to train and validate the system. We achieved an accuracy of 79% with precision and recall respectively 95% and 75% in classifying 'caries' versus 'sound' with inception-v3.","[('d1ental caries', 'disease', 0, 14), ('dental caries', 'disease', 533, 546), ('caries', 'disease', 868, 874)]"
38262405,[Compression therapy for inflammatory dermatoses of the legs].,"In addition to venous and lymphatic diseases, there is increasing scientific evidence that inflammatory dermatoses of the legs are also indications for compression therapy. Specifically, diseases such as pyoderma gangrenosum, livedoid vasculopathy, cutaneous vasculitides, necrobiosis lipoidica, psoriasis, or erysipelas are conditions for which adjunctive compression therapy may be used when manifestations occur on the lower extremities. When inflammatory dermatoses are accompanied by edema, compression therapy is not an off-label use. Especially because of the often problematic pain symptoms, compression therapy can be performed with low resting pressures around 20 mmHg, especially in inflammatory dermatoses.In this review article, the current scientific aspects of compression therapy in inflammatory dermatoses of the legs and the corresponding limitations are presented in a differentiated manner.","[('venous and lymphatic diseases', 'disease', 15, 44), ('pyoderma gangrenosum', 'disease', 204, 224), ('livedoid vasculopathy', 'disease', 226, 247), ('cutaneous vasculitides', 'disease', 249, 271), ('necrobiosis lipoidica', 'disease', 273, 294), ('psoriasis', 'disease', 296, 305), ('erysipelas', 'disease', 310, 320), ('inflammatory dermatoses', 'disease', 446, 469), ('inflammatory dermatoses', 'disease', 694, 717), ('inflammatory dermatoses', 'disease', 799, 822)]"
